sy_snum,sy_pnum,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_radv
3,5,M1.5 V,3350.00,,0.33,-0.550,[Fe/H],-1.863,4.69,2.000,,,6.50
3,5,M1.5 V,3350.00,,0.33,-0.550,[Fe/H],-1.863,4.69,2.000,,,6.50
3,5,M1.5 V,3350.00,,0.33,-0.550,[Fe/H],-1.863,4.69,2.000,,,6.50
1,1,M2.5,3600.00,0.36,0.35,-0.280,[Fe/H],-1.796,4.86,0.550,10.21003,1.0000,
2,4,M0 V,3734.00,0.69,0.73,0.080,[Fe/H],-1.043,4.62,,3.23229,1.6000,-39.04
2,4,M0,4006.03,0.65,0.63,0.230,[Fe/H],-1.043,4.61,,3.23229,1.6000,-39.04
2,4,M0 V,4006.03,0.65,0.71,0.230,[Fe/H],-1.043,4.61,,3.23229,1.6000,-39.04
2,4,M0 V,4006.03,0.65,0.71,0.230,[Fe/H],-1.043,4.61,,3.23229,1.6000,-39.04
1,2,M3.5 V,3028.00,0.30,0.27,,,-2.699,4.93,,14.59297,,
1,2,M3.5 V,3028.00,0.30,0.27,,,-2.699,4.93,,14.59297,,
1,1,M0.5,3816.00,0.54,0.55,-0.150,[Fe/H],-1.253,4.72,,4.44737,1.3300,-15.72
1,2,M3 V,3413.00,0.42,0.40,0.063,[Fe/H],-1.672,4.86,,8.37834,,-28.80
1,2,M3.0V,3413.00,0.42,0.40,0.063,[Fe/H],-1.672,4.82,,8.37834,,-28.80
2,1,M0.5 V,3837.00,0.56,0.57,-0.140,[Fe/H],-1.217,4.71,,3.99136,0.9900,
1,1,M1.0 V,3913.00,0.56,0.58,0.080,[Fe/H],-1.206,4.68,,4.01176,0.9200,9.50
1,2,M1.5,3472.00,0.44,0.45,-0.300,[Fe/H],-1.585,4.70,9.240,7.16403,,12.52
1,2,M1.5V,3472.00,0.44,0.45,-0.300,[Fe/H],-1.585,4.70,9.240,7.16403,,12.52
