sy_snum,sy_pnum,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_radv
1,1,4796.00,14.70,1.10,0.280,2.010,2.80,7.100,,
1,2,4259.00,71.02,10.83,-0.790,,1.77,,,
1,2,4137.00,49.00,2.80,-1.000,3.170,1.51,,,
1,2,4137.00,49.00,2.80,-1.000,3.170,1.51,,,
1,1,4296.00,17.30,0.80,-0.460,1.960,1.99,,,
1,1,5766.00,0.93,0.96,-0.150,-0.056,4.50,3.340,1.7000,-20.34
1,1,5703.00,0.96,0.96,-0.060,,4.38,,,
1,1,5766.00,1.08,1.67,-0.150,,4.50,,1.8900,
1,1,5004.00,,0.81,-0.090,,4.22,,,-6.82
1,1,4414.00,11.00,0.74,-0.200,1.690,2.24,,,
1,1,4534.00,10.33,1.09,-0.130,1.640,2.48,,,-45.93
1,1,4943.00,7.60,1.52,-0.190,1.470,2.85,2.340,,
1,1,5012.00,,0.91,0.180,,4.09,,,-25.65
1,1,4993.00,0.80,1.00,,0.356,4.55,0.100,,-10.15
1,1,5000.00,,0.82,-0.090,,4.20,,,-15.33
1,1,5040.00,,0.81,-0.140,,4.25,,,23.58
1,2,4324.00,,0.70,-0.140,-1.022,4.74,4.400,,23.62
1,2,4324.00,,0.70,-0.140,-1.022,4.74,4.400,,23.62
1,2,4816.00,0.71,0.50,-0.060,,4.43,,,
1,2,4746.00,,0.74,-0.070,,4.13,4.500,,53.34
1,2,4746.00,,0.74,-0.070,,4.13,4.500,,53.34
1,1,5393.00,,1.01,0.382,,4.68,,,
1,1,5400.00,,1.10,0.500,,4.40,,,26.40
1,1,5393.00,0.91,1.47,0.380,,4.69,,,
1,1,5382.64,0.97,1.00,0.370,,4.46,,,
1,2,4475.00,0.52,0.57,-0.480,,4.10,4.400,,-87.30
1,2,4550.00,0.64,0.65,-0.350,-0.804,4.64,7.400,3.5300,
1,2,4550.00,0.64,0.65,-0.350,-0.804,4.64,7.400,3.5300,
1,1,4545.00,19.17,2.12,-0.080,,2.20,,,
1,1,,,2.40,,,,0.740,,18.31
1,1,4714.00,0.69,0.74,-0.030,-0.678,4.26,4.300,,
1,1,4665.00,0.74,0.31,0.010,,4.19,,,
1,1,3130.00,0.17,0.16,0.130,-2.533,4.93,3.000,,
1,1,580.50,,0.02,,,4.72,,,
1,1,2320.00,0.24,0.01,,-2.850,3.85,0.003,,
1,1,,,0.35,,,,0.002,,
1,1,,,0.90,,-0.108,,0.003,,18.00
1,1,3406.00,0.39,0.37,0.000,-1.732,4.83,0.475,,
1,1,,,,,,,0.002,,
1,1,6298.00,1.23,1.22,0.060,,,1.600,,
1,1,5950.00,1.11,0.95,-0.300,,4.25,,,23.35
1,1,5950.00,,,-0.300,,4.25,,,
1,1,5950.00,1.13,0.95,-0.300,,4.31,7.800,0.9300,
1,1,5950.00,1.29,,,,4.33,,,
1,1,,,,,,,,,
1,1,5950.00,1.14,1.03,,,,,,
1,1,5075.00,0.79,0.89,0.260,,,3.000,,
1,1,5075.00,0.79,0.89,0.260,,4.65,3.000,3.3200,15.33
1,1,5075.00,0.74,0.90,0.260,,4.65,0.100,3.1000,
1,1,6440.00,1.37,1.26,-0.030,,4.26,2.000,0.6870,
1,1,6440.00,1.37,1.27,-0.030,,,2.000,,
1,1,6440.00,1.37,1.27,-0.030,,4.22,2.000,0.6900,
1,1,,1.33,1.23,,,,2.000,0.7400,-1.34
1,1,6343.00,1.36,1.56,0.040,,4.27,,0.5810,
1,1,,1.05,1.00,,0.070,4.38,6.170,1.2200,
1,1,5675.00,1.05,1.02,0.160,,4.41,5.800,1.2500,
1,1,5675.00,1.12,1.08,0.160,,,6.300,,
1,1,5675.00,1.12,1.08,0.160,,4.38,6.300,1.0800,
1,1,5675.00,1.12,1.08,0.160,,4.38,6.300,1.0800,
1,1,5675.00,1.04,,,,4.37,,,
1,1,5945.00,1.01,1.09,0.010,,,1.600,,
1,1,5945.00,1.01,1.09,0.010,,4.46,1.635,1.4680,22.45
1,1,5945.00,1.01,1.09,0.010,,4.46,1.635,1.4680,22.45
1,1,5945.00,1.14,,,,4.47,,,
1,1,5945.00,1.27,1.09,0.010,,4.26,5.800,0.7410,
1,1,6035.00,1.19,1.12,0.050,,4.34,3.700,0.9400,
1,1,6040.00,1.21,1.13,0.050,,,4.200,,
1,1,6035.00,1.21,1.13,0.050,,4.35,4.200,0.9100,
1,1,5650.00,1.19,1.10,0.190,,,6.700,,
1,1,5650.00,1.19,1.10,0.190,,4.36,6.730,0.9300,
1,1,5740.00,1.59,1.04,0.000,,4.40,10.700,0.3200,54.77
1,1,5740.00,1.62,1.04,0.000,,4.04,8.000,0.3420,
1,1,5740.00,1.59,1.04,0.000,,,10.700,,
1,1,5440.00,1.00,0.95,-0.100,,4.40,,1.3500,29.55
1,1,5440.00,1.00,0.95,-0.100,,,0.600,,
1,1,,0.88,0.88,,-0.170,4.49,0.032,1.8000,
1,1,5440.00,0.92,0.86,-0.100,,4.44,,1.5400,
1,1,5440.00,0.93,,,,4.42,,,
1,1,5440.00,1.00,0.95,-0.100,,4.40,,1.3500,29.55
1,1,6090.00,1.65,1.21,-0.020,0.544,4.07,5.000,0.3800,24.16
1,1,6090.00,1.64,,,,4.09,,,
1,1,6090.00,1.58,1.18,-0.020,,4.12,4.900,0.4250,
1,1,6090.00,1.65,1.21,-0.020,,,5.000,,
1,1,6090.00,1.65,1.21,-0.020,0.544,4.07,5.000,0.3800,24.16
2,1,5529.00,0.94,,,,4.48,,,
2,1,5598.00,0.90,1.00,0.040,,4.53,1.200,1.9190,
2,1,5529.00,0.94,0.97,-0.040,-0.131,4.48,,1.6618,
2,1,,,,,,,,,23.25
2,1,,,,,,,,,
2,1,5696.00,,,0.030,,4.42,0.120,,
2,1,5625.00,0.90,0.97,0.000,,4.30,,,
2,1,5625.00,0.90,0.97,0.000,,,2.700,,
2,1,5696.00,0.91,1.02,0.030,,4.53,0.600,1.9190,
2,1,5625.00,0.91,0.96,,,,2.700,1.8140,
2,1,5575.00,,,-0.040,,,,1.9580,
1,2,5880.00,1.34,1.11,0.140,,4.23,5.900,0.6500,
1,2,5880.00,1.02,1.14,0.140,,4.20,0.100,1.5100,60.62
1,2,,1.16,1.10,,0.170,4.35,4.000,1.0000,
1,2,5880.00,1.02,1.14,0.140,,,0.100,,
1,2,5880.00,1.30,,,,4.48,,,
1,2,,,1.14,,,,,,
1,2,,,1.14,,,,,,
1,1,6200.00,1.95,1.29,0.000,,,4.100,,
1,1,6200.00,1.95,1.29,0.000,,3.70,4.100,0.2550,101.00
1,1,5939.00,1.14,1.10,0.170,,4.36,3.300,1.0270,
1,1,5900.00,1.74,1.12,0.050,,4.01,5.400,0.3010,
1,1,5900.00,1.61,1.14,0.050,,,7.200,,
1,1,5900.00,1.61,1.14,0.050,,4.30,7.200,0.5000,-35.18
1,2,4950.00,0.86,0.91,0.300,,4.55,11.000,,51.37
1,2,4950.00,0.86,0.91,0.300,,4.55,11.000,,51.37
1,1,6040.00,1.19,1.09,-0.010,,,4.500,,
1,1,6040.00,1.19,1.09,-0.010,,4.31,4.500,,-15.42
1,1,5590.00,1.79,1.09,0.010,,3.99,8.600,,15.51
1,1,5590.00,1.79,1.09,0.010,,,8.600,,
1,1,5900.00,1.08,1.05,-0.100,,,4.200,,
1,1,5900.00,1.08,1.05,-0.100,,4.40,4.210,1.2400,-4.09
1,1,5150.00,1.78,1.01,0.150,,3.60,12.000,0.2700,
1,1,5150.00,1.78,1.01,0.150,,,12.000,,
1,1,5260.00,0.90,0.97,0.200,,4.30,4.500,1.8250,
1,1,5260.00,0.90,0.97,0.200,,,4.000,,
1,1,5268.00,1.08,0.90,,-0.094,4.33,,1.0151,
1,1,6740.00,1.56,1.37,-0.020,,,2.200,,
1,1,6558.00,1.44,1.41,0.140,,4.25,,0.4310,
1,1,,1.54,1.36,,,,,0.5240,
1,1,6740.00,1.57,1.40,-0.020,,4.19,1.500,0.5060,
1,1,6740.00,1.56,1.37,,,4.22,2.200,,-56.16
1,1,5650.00,0.91,0.98,0.020,,4.40,3.000,,-34.93
1,1,5700.00,2.15,1.25,0.000,,3.85,4.700,,18.60
1,1,6390.00,1.65,1.01,-0.500,,4.01,6.100,,
1,1,6730.00,1.52,1.32,-0.100,,4.16,2.100,,
1,1,6190.00,1.17,1.16,0.050,,,1.000,,
1,1,6190.00,1.12,,,,4.37,,,
1,1,6190.00,1.15,1.19,0.050,,4.40,0.800,1.1100,
1,1,6190.00,1.17,1.16,,,4.41,1.000,,32.30
1,1,,1.11,0.99,,0.180,4.34,6.310,1.0100,
1,1,,,,,,,,,
1,1,6100.00,1.19,1.00,-0.250,,,6.900,,
1,1,6100.00,1.19,1.00,-0.250,,4.19,6.900,,
1,1,6100.00,1.27,,,,4.29,,,
1,1,6100.00,1.05,1.02,-0.250,,4.41,3.900,1.2000,
1,1,,,,,,,,,
1,1,6090.00,1.02,1.05,-0.200,,4.43,,,-18.24
1,1,6090.00,1.02,1.05,-0.200,,,2.500,,
1,1,6090.00,1.04,1.05,-0.200,,4.42,2.500,1.3100,
1,3,5256.00,0.86,0.90,0.060,-0.289,4.52,,1.9632,
1,3,5256.00,0.86,0.90,0.060,-0.289,4.52,,1.9632,
1,3,5275.00,0.83,0.82,0.050,,4.50,,2.0000,
1,3,5313.00,0.84,0.88,0.030,,4.54,,2.1100,
1,3,5275.00,0.87,0.93,0.030,,4.50,1.750,1.6000,31.17
1,3,5259.00,0.82,0.91,0.138,,4.57,1.320,2.3540,
1,3,5250.00,,0.92,,,,1.800,,
1,3,5250.00,0.96,0.88,0.120,,4.42,,1.4100,
1,3,5250.00,,0.92,,,,1.800,,
1,3,5256.00,0.86,0.90,0.060,-0.289,4.52,,1.9632,
1,3,5256.00,0.86,0.90,0.060,-0.289,4.52,,1.9632,
1,3,5250.00,,0.92,,,,1.800,,
1,1,5080.00,0.90,0.88,0.310,,4.47,,1.7000,
1,1,,0.80,0.89,,-0.400,4.58,1.700,2.4400,
1,1,5080.00,0.77,0.88,0.300,,,3.000,,
1,1,5080.00,0.77,0.88,0.300,,4.58,3.000,2.7000,-37.47
2,1,5625.00,0.96,0.96,-0.010,,,6.000,,
2,1,5625.00,0.94,0.99,-0.010,,4.54,,1.6800,19.79
2,1,,,,,,,,,
2,1,5625.00,0.94,0.96,-0.010,,4.48,,1.6300,
2,1,5625.00,0.96,0.96,-0.010,,4.54,6.000,1.5100,19.82
1,1,5970.00,0.79,1.08,0.000,-0.155,4.67,,,
1,1,5970.00,0.79,1.08,0.000,-0.155,4.67,,,
2,1,,,0.51,,,,,,
1,1,,,0.07,,,,1.000,,
1,1,,0.27,0.33,,,,0.001,,
1,1,4371.00,1.37,0.68,,-0.212,4.00,,0.3771,
1,4,6196.00,1.26,1.21,,,4.41,2.010,,
1,4,6196.00,1.26,1.21,,,4.41,2.010,,
1,4,6196.00,1.26,1.21,,,4.41,2.010,,
1,4,6196.00,1.26,1.21,,,4.41,2.010,,
1,1,6500.00,1.78,1.44,,0.104,4.10,2.000,,
2,1,5138.00,0.91,0.87,0.180,,4.30,10.900,,
2,1,,,,,,,,,
2,1,,,,,,,,,
2,1,,,0.69,,,,,,
2,1,5428.00,0.96,1.01,0.000,-0.140,,0.045,2.4000,8.05
2,1,5542.00,0.87,0.96,-0.080,,4.60,0.040,2.0950,7.88
2,1,5414.00,0.95,,,,4.44,,,
1,1,3648.00,0.28,0.29,-0.048,,5.00,,,
1,1,,,0.41,,,,,,
1,1,,0.37,,,,,,,
1,1,5633.00,0.94,,-0.053,,4.40,,,
1,1,,,0.78,,,,,,
1,1,5820.00,0.93,,-0.010,,4.60,,,
1,1,5705.00,0.93,,-0.010,,4.48,,,
1,1,5711.17,0.99,1.02,0.018,-0.026,4.45,,1.4754,
1,2,,,1.07,,,,,,
1,3,,,0.67,,,,,,
1,1,4520.00,0.66,0.73,-0.003,-0.364,4.66,,,
1,2,,,0.61,,,,,,
1,2,,0.63,,,,,,,
1,1,,0.63,,,,,,,
1,1,5053.00,0.63,0.80,0.000,,4.59,,,
1,1,,,0.80,,,,,,
1,2,5502.70,0.83,0.88,,,,,,
1,2,,0.90,,,,,,,
