default_flag,sy_snum,sy_pnum,pl_orbper,pl_rade,pl_radj,pl_masse,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv
1,1,1,714.29999000,,,,4545.00,19.17,2.12,-0.080,[Fe/H],,2.20,,,,,
1,1,1,655.60000000,,,,4714.00,0.69,0.74,-0.030,[Fe/H],-0.678,4.26,4.300,,1.5000,,
0,1,1,655.59998000,,,,4665.00,0.74,0.31,0.010,[Fe/H],,4.19,,,,,
1,1,1,10037.50000000,,,3337.10000,580.50,,0.02,,,,4.72,,,,,
1,1,1,8040000.00000000,20.849,1.860,2479.06157,2320.00,0.24,0.01,,,-2.850,3.85,0.003,,,,
1,1,1,,,,3994.48600,,,0.35,,,,,0.002,,,,
1,1,1,8.98910000,,,3686.82800,,,0.90,,,-0.108,,0.003,,,,18.00
1,1,1,,24.660,2.200,5403.00000,,,,,,,,0.002,,,,
0,1,1,1.50896860,17.385,1.551,327.36490,5950.00,1.13,0.95,-0.300,[Fe/H],,4.31,7.800,0.9300,,,
0,1,1,1.50895570,16.589,1.480,359.14790,5950.00,1.14,1.03,,,,,,,5.2000,,
0,1,1,1.50896820,19.223,1.715,390.93090,6298.00,1.23,1.22,0.060,,,,1.600,,5.2000,,
0,1,1,1.50897655,15.917,1.420,340.07810,5950.00,,,-0.300,[Fe/H],,4.25,,,,,
1,1,1,1.50895570,16.700,1.490,327.35000,5950.00,1.11,0.95,-0.300,[M/H],,4.25,,,5.2000,,23.35
1,1,1,13.24060000,10.870,0.970,874.00000,5075.00,0.79,0.89,0.260,[Fe/H],,4.65,3.000,3.3200,2.0000,,15.33
0,1,1,13.24060000,10.873,0.970,867.67590,5075.00,0.79,0.89,0.260,,,,3.000,,2.0000,,
0,1,1,13.24060000,10.548,0.941,883.56740,5075.00,0.74,0.90,0.260,[Fe/H],,4.65,0.100,3.1000,,,
0,1,1,2.99432500,16.029,1.430,832.71460,6440.00,1.37,1.27,0.030,,,,2.000,,40.0000,,
0,1,1,2.99433000,15.984,1.426,743.72220,6440.00,1.37,1.26,-0.030,[Fe/H],,4.26,2.000,0.6870,,,
1,1,1,2.99433000,16.030,1.430,740.51000,6440.00,1.37,1.27,-0.030,[Fe/H],,4.22,2.000,0.6900,40.0000,,
0,1,1,,,,,6343.00,1.36,1.56,0.040,[Fe/H],,4.27,,0.5810,36.7200,,
0,1,1,2.99432500,15.581,1.390,791.39670,,1.33,1.23,,,,,2.000,0.7400,38.4700,,-1.34
0,1,1,2.82805268,15.065,1.344,277.46559,,1.05,1.00,,,0.070,4.38,6.170,1.2200,,,
0,1,1,2.82804200,16.141,1.440,290.81445,5675.00,1.12,1.08,0.160,,,,6.300,,1.0000,,
0,1,1,2.82804200,15.132,1.350,281.91521,5675.00,1.05,1.02,0.160,[Fe/H],,4.41,5.800,1.2500,,,
1,1,1,2.82804200,16.140,1.440,291.43800,5675.00,1.12,1.08,0.160,[Fe/H],,4.38,6.300,1.0800,1.0000,,
0,1,1,4.03519000,14.034,1.252,416.99296,5945.00,1.27,1.09,0.010,[Fe/H],,4.26,5.800,0.7410,,,
0,1,1,4.03519000,9.920,0.885,423.03173,5945.00,1.01,1.09,0.010,,,,1.600,,4.0000,,
1,1,1,4.03519000,9.920,0.885,415.70400,5945.00,1.01,1.09,0.010,[Fe/H],,4.46,1.635,1.4680,4.0000,,22.45
0,1,1,1.51214000,12.218,1.090,2358.29860,6040.00,1.21,1.13,0.050,,,,4.200,,9.0000,,
0,1,1,1.51214000,11.411,1.018,2437.75610,6035.00,1.19,1.12,0.050,[Fe/H],,4.34,3.700,0.9400,,,
1,1,1,1.51214000,12.220,1.090,2415.40000,6035.00,1.21,1.13,0.050,[Fe/H],,4.35,4.200,0.9100,9.0000,,
